Postcode,State,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Not applicable,Total
2000,NSW,2836,307,7278,2852,931,6241,9,443,717,4552,1251,27411
2006,NSW,34,4,114,12,10,912,0,5,3,153,15,1261
2007,NSW,903,95,2537,622,275,2496,0,200,209,1130,375,8846
2008,NSW,1387,174,3549,727,389,3269,0,142,244,1420,407,11712
2009,NSW,1583,281,3653,1099,659,2387,3,244,355,1344,1187,12813
2010,NSW,3404,674,8413,2248,1429,4591,6,607,762,4257,1347,27733
2011,NSW,2441,526,5509,1633,1290,3349,5,321,484,4850,788,21199
2015,NSW,1105,305,2860,850,711,1721,7,190,219,845,1110,9922
2016,NSW,1377,340,3638,992,801,2571,4,472,411,1695,911,13213
2017,NSW,2704,423,5902,1810,1491,6154,7,707,634,3024,1829,24694
2018,NSW,1202,207,2924,1240,1397,4301,6,1113,676,1355,2597,17028
2019,NSW,516,128,1387,894,1292,2588,3,579,298,933,2229,10840
2020,NSW,1219,176,2925,1149,1292,3783,7,706,455,1107,1963,14771
2021,NSW,2025,436,4624,1058,676,2340,3,240,348,1565,1998,15312
2022,NSW,1245,266,3177,985,673,2142,3,276,326,1591,1838,12510
2023,NSW,1099,215,2926,744,427,1988,0,245,264,869,1940,10719
2024,NSW,1083,246,2719,748,676,1850,4,303,277,1140,2029,11073
2025,NSW,864,182,2220,486,273,1176,0,136,175,800,1092,7407
2026,NSW,2979,676,8889,2561,1886,5314,0,603,869,4027,4672,32489
2027,NSW,954,217,2236,619,281,1488,0,138,204,1163,900,8191
2028,NSW,549,106,1375,349,170,838,0,95,119,510,532,4643
2029,NSW,806,199,2496,837,530,1896,0,221,296,893,1795,9957
2030,NSW,1193,248,3468,1042,622,2796,0,410,371,934,2992,14080
2031,NSW,3658,848,8769,2582,2447,6098,0,877,858,3084,5509,34729
2032,NSW,1675,225,3788,960,944,4749,4,756,485,1211,1893,16692
2033,NSW,1348,190,2763,792,665,2703,0,358,314,975,1458,11573
2034,NSW,2062,551,4970,1582,1492,3658,0,545,498,2099,3256,20716
2035,NSW,2763,561,6618,2543,2793,7883,12,1775,1140,2709,5698,34496
2036,NSW,1532,335,3649,2146,3158,7380,15,1704,932,4429,5122,30411
2037,NSW,2132,407,4237,1083,830,3236,14,491,363,1774,1551,16119
2038,NSW,1154,297,2470,649,556,1555,4,266,190,746,1564,9452
2039,NSW,987,251,2239,713,535,1372,0,173,204,741,1511,8726
2040,NSW,2085,621,4835,1665,1487,3876,0,962,574,1667,4465,22242
2041,NSW,2037,509,4055,1157,760,2357,8,368,319,1390,2736,15687
2042,NSW,2277,598,5326,1391,1190,3608,4,482,444,1878,1926,19128
2043,NSW,1076,248,2336,644,503,1296,0,133,158,724,885,8014
2044,NSW,561,184,1557,636,718,1790,4,389,247,582,1171,7840
2045,NSW,481,116,1161,465,484,1296,0,658,223,364,1206,6453
2046,NSW,1797,586,4954,2218,2336,5404,8,1744,1030,1938,4790,26822
2047,NSW,1062,308,2628,1019,892,2103,3,533,417,1082,1906,11950
2048,NSW,848,219,2042,622,517,1358,4,314,221,678,1110,7940
2049,NSW,1115,365,2584,864,833,2057,0,525,334,1058,1536,11278
2050,NSW,1208,266,2856,649,442,1711,4,151,161,837,678,8967
2052,NSW,213,12,500,106,48,2197,0,12,45,276,20,3428
2060,NSW,2083,406,4383,1098,577,2100,0,239,363,1299,1423,13987
2061,NSW,892,174,1921,474,209,915,0,101,183,629,441,5943
2062,NSW,726,224,1995,617,351,1105,6,96,187,421,1279,7004
2063,NSW,700,148,1617,466,212,1139,0,185,176,286,1423,6348
2064,NSW,1213,259,2520,696,399,1593,0,216,237,563,1832,9525
2065,NSW,4207,930,8973,2406,1366,4468,6,541,703,2127,4389,30116
2066,NSW,3667,841,7956,2485,1661,5564,6,890,860,1610,6086,31625
2067,NSW,3120,480,6565,1908,990,5797,6,889,789,1536,4330,26404
2068,NSW,1528,414,3914,1265,823,2991,8,649,504,803,3908,16811
2069,NSW,1665,355,3614,1028,537,2516,0,406,374,693,3069,14251
2070,NSW,1581,350,3442,961,455,2569,0,402,373,547,2821,13504
2071,NSW,1680,291,3424,924,413,2795,3,456,388,628,2551,13550
2072,NSW,989,167,2059,486,244,1413,0,214,197,502,1385,7666
2073,NSW,1958,452,4033,1170,577,3039,0,475,414,597,3636,16354
2074,NSW,2304,604,5227,1823,1024,4296,0,673,729,1260,4312,22261
2075,NSW,2156,461,4738,1748,891,3981,0,628,664,909,4280,20456
2076,NSW,2353,610,5516,1990,1263,4923,3,877,773,1439,4903,24653
2077,NSW,3693,803,7903,3213,2906,7453,14,1276,1174,1951,7411,37792
2079,NSW,369,170,1153,659,925,1593,0,226,266,265,1472,7096
2080,NSW,86,41,239,159,230,363,0,68,60,88,362,1704
2081,NSW,291,112,858,474,672,1185,0,189,188,230,1169,5365
2082,NSW,254,123,804,516,745,1065,3,217,170,254,1243,5399
2083,NSW,107,30,228,142,229,343,0,57,50,119,215,1514
2084,NSW,175,68,557,326,433,808,0,163,141,245,710,3625
2085,NSW,536,229,1838,1170,1100,2707,3,513,488,752,2281,11624
2086,NSW,791,230,2345,1287,1261,2893,4,493,445,512,3148,13417
2087,NSW,879,267,2347,1071,995,2765,3,557,410,551,2950,12796
2088,NSW,3316,723,7417,2313,1074,5022,4,635,768,2198,5014,28476
2089,NSW,1496,354,3567,1062,568,1836,0,150,314,1069,1503,11914
2090,NSW,1682,410,3941,1250,636,2152,0,207,373,1064,2006,13726
2092,NSW,528,163,1591,622,432,1285,4,195,199,308,1809,7137
2093,NSW,1679,558,4973,1951,1643,4113,4,639,687,1330,5286,22872
2094,NSW,570,177,1481,526,390,1028,0,127,157,357,1030,5841
2095,NSW,1730,366,4467,1348,901,2610,4,322,431,1630,2058,15863
2096,NSW,1067,326,3288,1372,1387,2565,0,382,380,1021,2873,14656
2097,NSW,632,262,2492,1435,1950,3405,7,577,543,1112,3128,15531
2099,NSW,1756,631,6251,3816,4839,9089,45,1818,1490,2829,7377,39922
2100,NSW,1007,357,3356,1858,2337,4648,12,964,750,1232,4394,20911
2101,NSW,783,360,2808,1938,2625,4144,15,806,716,1628,3565,19394
2102,NSW,317,120,1063,752,879,1586,5,261,233,574,1710,7499
2103,NSW,456,183,1676,1019,1350,2397,7,432,407,852,1894,10674
2104,NSW,194,48,593,385,333,916,0,135,148,380,488,3620
2105,NSW,150,41,361,181,164,369,0,40,53,195,290,1848
2106,NSW,456,179,1693,1020,1109,2069,3,250,305,471,1746,9303
2107,NSW,798,343,2585,1568,1574,3197,0,420,489,773,2926,14670
2108,NSW,112,35,363,185,147,380,0,38,54,166,190,1672
2109,NSW,348,38,733,209,95,1038,0,55,68,310,187,3090
2110,NSW,938,226,2108,736,539,2103,0,494,317,866,2015,10348
2111,NSW,1085,290,2935,1279,1181,2896,6,730,512,915,2582,14415
2112,NSW,2750,501,6280,2694,2729,7304,18,1565,1180,2088,5733,32852
2113,NSW,1884,310,4020,1413,1374,3785,3,846,643,935,3150,18365
2114,NSW,2595,483,5617,1899,1784,4936,6,871,784,1120,3971,24059
2115,NSW,514,108,1442,846,1154,2741,9,659,402,680,2180,10738
2116,NSW,368,77,974,536,650,1740,3,408,223,360,1293,6640
2117,NSW,1440,294,3565,1686,1918,5219,9,1083,739,1330,4009,21288
2118,NSW,2189,419,4791,1959,1663,5729,5,992,873,1152,4573,24340
2119,NSW,1380,322,2703,876,602,2254,9,344,342,594,2222,11646
2120,NSW,1923,532,4326,1652,1397,4153,0,666,690,873,4002,20207
2121,NSW,3588,652,6726,2113,1377,5965,6,890,855,1103,4927,28215
2122,NSW,3706,532,6940,2392,1735,7280,9,1277,985,1752,4547,31161
2123,NSW,0,0,0,0,0,0,0,0,0,0,0,0
2125,NSW,1513,364,3664,1394,1118,3570,3,604,565,560,3024,16377
2126,NSW,1816,468,4148,1655,1145,4051,3,712,594,756,3429,18768
2127,NSW,1656,271,3497,1156,820,2712,0,246,340,1370,2462,14535
2128,NSW,142,28,361,184,196,553,0,111,99,1993,493,4166
2129,NSW,0,0,0,0,0,0,0,0,0,0,0,4
2130,NSW,811,220,1775,551,488,1281,4,279,193,580,1127,7306
2131,NSW,2400,474,5365,1902,1455,5253,8,1200,837,1996,2942,23839
2132,NSW,864,244,2022,742,745,2368,3,724,432,724,1756,10613
2133,NSW,585,154,1693,845,1070,2821,0,768,457,611,2010,11014
2134,NSW,1667,193,3575,1235,703,4506,5,832,613,1136,1572,16033
2135,NSW,2477,357,6118,1784,1148,6451,10,1046,899,1786,3191,25252
2136,NSW,464,107,1271,570,627,1888,0,455,253,480,1244,7367
2137,NSW,1946,483,5008,2212,2315,5890,10,1480,1038,1650,4480,26507
2138,NSW,2848,328,4966,1472,967,4213,7,612,526,1160,2925,20022
2139,NSW,3,0,8,0,0,14,0,3,3,21,0,55
2140,NSW,1827,228,3516,1158,782,3683,4,515,471,1543,2447,16161
2141,NSW,1324,262,4519,2113,1833,8699,21,2020,1487,1926,4481,28675
2142,NSW,1648,213,3541,1834,1753,6637,21,1705,1207,2468,5266,26297
2143,NSW,302,66,1007,631,713,2648,6,731,437,604,1771,8920
2144,NSW,1752,236,4297,2259,1920,11014,35,3297,2578,2742,7246,37370
2145,NSW,6348,937,12280,5243,6645,17744,45,4755,2681,5547,16978,79213
2146,NSW,1129,217,2450,1278,1830,4314,10,1083,569,1021,3564,17467
2147,NSW,1442,419,4173,2710,4457,9653,27,2572,1196,2564,7119,36346
2148,NSW,2832,510,7384,4632,6937,16756,50,4656,2118,4317,12892,63074
2150,NSW,4340,502,7479,2107,1370,5708,9,922,1129,2733,5212,31500
2151,NSW,1509,375,3735,1761,1764,4774,7,995,755,1659,3972,21308
2152,NSW,778,193,1980,925,1185,2399,9,564,418,639,2118,11218
2153,NSW,4118,998,9942,4979,5519,12513,12,2308,1825,2396,11943,56556
2154,NSW,3057,733,7657,3491,3128,8812,14,1509,1349,2121,7713,39594
2155,NSW,3224,820,9045,4687,5403,12310,15,2006,1534,2099,14295,55447
2156,NSW,565,227,2043,1253,1607,3078,7,643,471,638,2417,12941
2157,NSW,121,42,447,271,560,908,0,226,123,295,742,3741
2158,NSW,440,146,1408,769,924,2081,5,421,332,488,1569,8579
2159,NSW,223,91,693,486,713,1145,0,263,180,236,947,4976
2160,NSW,1196,259,3742,2547,3124,10016,34,2985,1879,2690,7497,35971
2161,NSW,720,145,2433,1927,2739,9019,29,2803,1629,2573,7411,31420
2162,NSW,351,109,1477,1142,1725,5539,19,1811,950,1385,4114,18622
2163,NSW,145,30,580,489,730,2748,5,971,517,1519,1862,9592
2164,NSW,282,100,1398,1221,2216,5654,20,2241,1172,1467,3857,19626
2165,NSW,602,176,2941,2426,3294,12952,37,5383,3109,3076,8435,42438
2166,NSW,558,151,3687,2541,3508,17924,66,6510,4309,3645,9862,52768
2167,NSW,694,97,1281,683,943,2208,4,504,274,850,2095,9637
2168,NSW,461,160,2545,2501,4152,13580,48,4303,2257,3701,9740,43451
2170,NSW,2711,671,9605,7431,11120,28464,85,8316,4381,9376,23289,105455
2171,NSW,851,229,3733,2645,3845,9643,19,1917,1335,1794,8853,34865
2172,NSW,153,29,415,252,373,623,0,102,94,120,621,2779
2173,NSW,662,178,1967,1191,1853,3608,5,541,374,691,3365,14432
2174,NSW,125,26,308,175,180,522,0,98,68,150,614,2267
2175,NSW,24,0,111,106,252,509,0,263,78,178,316,1837
2176,NSW,719,227,4308,3224,4887,14739,57,5400,3151,2561,8533,47812
2177,NSW,186,66,1235,975,1396,5260,16,1682,1216,850,3096,15980
2178,NSW,66,21,287,233,689,1103,0,422,167,493,745,4234
2179,NSW,142,32,429,363,858,1675,8,765,295,738,1237,6529
2190,NSW,668,157,2164,1512,2161,7489,7,2066,1183,2008,6153,25571
2191,NSW,191,59,758,487,612,1763,0,540,259,372,1270,6317
2192,NSW,456,98,1370,894,1132,3601,8,1190,666,1051,2252,12713
2193,NSW,1039,298,2481,1193,1384,3549,6,1151,661,990,2505,15254
2194,NSW,1378,217,3618,1878,1479,7576,12,1746,1132,1766,3744,24538
2195,NSW,1753,222,3414,1542,1434,6638,9,2071,1268,2037,6747,27148
2196,NSW,942,175,2977,2034,2682,9286,11,2686,1602,2323,7102,31813
2197,NSW,171,54,672,586,934,2748,9,852,411,570,2068,9067
2198,NSW,195,51,762,602,1049,2526,3,691,397,763,1999,9039
2199,NSW,405,95,1597,1099,1664,5396,11,1651,790,1334,3985,18016
2200,NSW,1451,265,4648,2852,3332,12399,30,3413,1976,3542,9771,43688
2203,NSW,1155,423,2778,1064,1140,2625,3,781,462,1123,2151,13707
2204,NSW,2099,582,5380,1865,1941,5586,8,1781,1100,2401,3770,26499
2205,NSW,1765,255,4026,1499,1351,4710,6,936,700,1601,2609,19447
