Postcode,State,No motor vehicles,One motor vehicle,Two motor vehicles,Three motor vehicles,Four or more motor vehicles,Not stated,Not applicable,Total
2000,NSW,5196,3229,672,63,41,2163,2473,13838
2006,NSW,0,4,0,0,0,3,6,17
2007,NSW,1656,974,144,16,20,607,247,3668
2008,NSW,2738,1402,298,34,21,704,428,5622
2009,NSW,1617,2793,792,83,26,629,527,6468
2010,NSW,5786,5054,1011,102,58,2211,1884,16106
2011,NSW,4820,3884,722,69,50,1730,1839,13115
2015,NSW,792,2357,856,116,32,470,410,5034
2016,NSW,2287,2478,646,114,38,980,685,7224
2017,NSW,3640,5095,1413,147,44,1759,1098,13191
2018,NSW,1171,2940,1481,360,128,655,588,7334
2019,NSW,279,1348,1419,344,154,325,264,4137
2020,NSW,858,2466,1427,284,99,399,508,6030
2021,NSW,1351,3283,1349,225,79,818,800,7898
2022,NSW,1175,2326,904,138,53,769,541,5902
2023,NSW,397,1520,1367,348,161,427,421,4641
2024,NSW,559,1822,1202,219,73,440,516,4833
2025,NSW,411,1436,803,128,38,485,367,3664
2026,NSW,2775,5839,2936,526,158,2159,1878,16266
2027,NSW,584,1670,961,188,66,604,620,4698
2028,NSW,344,1010,491,89,33,268,291,2523
2029,NSW,448,1689,1277,243,100,361,447,4562
2030,NSW,272,1530,1900,608,305,390,576,5576
2031,NSW,2331,6562,3364,595,165,1111,1357,15484
2032,NSW,1894,2311,1188,276,126,582,343,6706
2033,NSW,867,1938,1000,208,92,424,338,4863
2034,NSW,1413,3697,2165,460,157,997,841,9722
2035,NSW,1887,5227,3737,926,402,1234,1227,14632
2036,NSW,1212,3634,3197,913,477,1239,631,11316
2037,NSW,2039,3081,1057,163,67,1082,866,8354
2038,NSW,522,1766,1028,174,55,356,435,4340
2039,NSW,347,1902,979,142,39,356,385,4155
2040,NSW,1173,3920,2432,411,147,778,677,9533
2041,NSW,877,3207,1727,259,83,688,664,7511
2042,NSW,2337,3814,1142,162,64,1022,936,9480
2043,NSW,771,1971,558,49,11,373,314,4053
2044,NSW,449,1407,723,141,45,298,265,3330
2045,NSW,203,753,796,253,123,134,151,2415
2046,NSW,893,4056,3674,824,383,808,897,11542
2047,NSW,416,2156,1499,342,132,505,499,5541
2048,NSW,537,1500,716,153,47,385,228,3561
2049,NSW,891,2172,1001,161,55,488,439,5200
2050,NSW,1775,2007,561,63,32,497,470,5400
2052,NSW,379,72,0,0,5,64,27,551
2060,NSW,1448,3463,1081,195,51,690,1120,8051
2061,NSW,874,1433,517,61,25,377,615,3894
2062,NSW,279,1617,881,131,56,206,270,3442
2063,NSW,91,650,889,262,91,110,168,2266
2064,NSW,556,1992,833,145,34,250,253,4057
2065,NSW,2113,6789,2930,495,187,1065,1305,14878
2066,NSW,994,5354,4023,859,347,718,1166,13466
2067,NSW,2093,4541,2067,459,145,720,1038,11058
2068,NSW,355,2193,2265,509,205,329,405,6251
2069,NSW,227,1523,1995,529,239,205,369,5083
2070,NSW,309,1516,1882,531,184,219,356,4996
2071,NSW,188,1518,1842,550,248,190,353,4898
2072,NSW,137,1095,967,242,101,113,184,2841
2073,NSW,152,1349,2471,752,320,202,363,5608
2074,NSW,350,2491,3146,951,376,328,533,8169
2075,NSW,141,2034,3140,979,454,255,467,7469
2076,NSW,363,2499,3410,983,465,346,558,8620
2077,NSW,1649,6662,3734,895,417,781,990,15122
2079,NSW,73,616,1005,317,207,72,124,2422
2080,NSW,18,168,237,87,38,24,29,602
2081,NSW,38,465,775,266,128,55,83,1814
2082,NSW,42,528,790,248,127,71,88,1894
2083,NSW,67,208,186,59,37,81,235,873
2084,NSW,18,191,462,204,173,72,89,1208
2085,NSW,131,970,1650,581,310,261,192,4091
2086,NSW,87,1011,1995,642,332,159,196,4416
2087,NSW,199,1185,1897,524,260,175,250,4490
2088,NSW,1146,5093,3505,830,331,952,1390,13245
2089,NSW,860,2926,1183,173,69,537,670,6412
2090,NSW,725,3245,1584,263,95,539,585,7033
2092,NSW,60,642,993,337,131,94,191,2459
2093,NSW,486,3272,3063,715,281,477,654,8939
2094,NSW,188,1095,785,141,48,144,284,2699
2095,NSW,1200,3271,1549,298,94,711,1353,8478
2096,NSW,346,2304,2019,446,192,494,538,6336
2097,NSW,230,1463,2238,698,347,351,374,5699
2099,NSW,1438,6078,4734,1301,650,1229,1217,16649
2100,NSW,380,2141,2713,864,480,374,461,7404
2101,NSW,470,2455,2652,773,473,614,583,8015
2102,NSW,50,710,1162,306,133,136,149,2653
2103,NSW,177,1189,1552,490,259,267,425,4353
2104,NSW,141,481,439,199,130,122,158,1676
2105,NSW,60,179,259,86,36,82,251,959
2106,NSW,100,993,1430,440,259,230,436,3889
2107,NSW,106,1277,2315,788,365,261,754,5860
2108,NSW,20,204,273,74,38,67,668,1347
2109,NSW,252,465,85,3,0,69,76,954
2110,NSW,211,916,1336,396,242,233,318,3654
2111,NSW,535,2137,1920,455,255,394,458,6163
2112,NSW,1191,4833,3762,1112,551,767,854,13079
2113,NSW,789,2775,2089,561,260,322,688,7485
2114,NSW,1088,4176,2581,600,259,474,613,9791
2115,NSW,309,1199,1325,390,184,236,314,3957
2116,NSW,230,778,835,254,102,146,146,2487
2117,NSW,697,2491,2646,758,396,509,493,7987
2118,NSW,394,2530,3314,975,421,346,520,8502
2119,NSW,105,1013,1727,520,222,114,218,3918
2120,NSW,265,2304,2803,756,360,270,422,7172
2121,NSW,659,3804,3411,912,354,420,560,10111
2122,NSW,1369,4524,3356,814,367,647,750,11825
2123,NSW,0,0,0,0,0,0,0,0
2125,NSW,98,1089,2299,947,566,153,281,5435
2126,NSW,150,1531,2710,920,423,170,253,6166
2127,NSW,293,2861,2005,276,69,676,428,6606
2128,NSW,42,323,283,67,40,84,77,919
2129,NSW,0,0,0,0,0,0,0,4
2130,NSW,565,1536,591,97,29,253,289,3366
2131,NSW,1904,4155,1670,312,141,931,660,9772
2132,NSW,430,1447,1106,276,121,250,215,3854
2133,NSW,410,1504,1259,390,198,245,281,4281
2134,NSW,1572,2269,936,214,132,508,446,6060
2135,NSW,1430,2917,1975,765,410,790,567,8854
2136,NSW,246,942,847,239,126,178,149,2719
2137,NSW,704,3469,3558,920,459,624,758,10491
2138,NSW,1085,3877,1763,362,159,523,504,8268
2139,NSW,0,0,0,0,0,0,7,5
2140,NSW,804,2652,1205,242,102,652,407,6052
2141,NSW,1039,3304,2622,809,365,728,496,9365
2142,NSW,1233,3521,2165,600,338,975,706,9537
2143,NSW,271,1026,887,286,139,219,185,3009
2144,NSW,1469,3953,2509,902,569,1077,685,11167
2145,NSW,2355,10184,8340,2315,1234,1861,1567,27856
2146,NSW,399,2103,2082,585,279,369,330,6147
2147,NSW,1072,3853,4472,1556,772,881,656,13266
2148,NSW,1832,7577,6647,2208,1068,1599,1134,22056
2150,NSW,2756,5734,1641,271,145,1336,878,12758
2151,NSW,696,2904,2534,639,299,595,673,8348
2152,NSW,338,1818,1471,372,145,276,323,4746
2153,NSW,614,5160,8144,2573,1355,622,941,19413
2154,NSW,555,3495,5451,1846,1063,557,774,13743
2155,NSW,185,3120,7891,2810,1464,681,824,16972
2156,NSW,77,731,1471,758,849,165,276,4321
2157,NSW,8,199,363,238,248,99,63,1215
2158,NSW,70,600,1003,457,457,150,198,2930
2159,NSW,42,333,560,298,317,74,116,1737
2160,NSW,1487,4256,3238,1073,680,1003,749,12478
2161,NSW,1106,3116,2681,1034,650,1039,669,10296
2162,NSW,641,1879,1799,673,351,450,413,6204
2163,NSW,519,1147,728,244,131,414,220,3419
2164,NSW,538,1898,1958,865,470,460,328,6516
2165,NSW,1734,4632,3516,1356,686,1122,853,13884
2166,NSW,2192,5619,4274,1691,799,1266,910,16750
2167,NSW,204,1148,1049,291,138,199,181,3210
2168,NSW,1300,3496,3974,1824,1061,1429,624,13709
2170,NSW,3203,10727,10738,3834,2007,3785,1695,35996
2171,NSW,159,1664,4180,1803,1115,621,368,9905
2172,NSW,7,133,408,153,114,31,34,877
2173,NSW,90,1140,1974,629,274,173,180,4462
2174,NSW,12,109,302,102,43,49,51,666
2175,NSW,21,85,149,107,136,54,41,597
2176,NSW,597,3398,4966,2491,1588,681,511,14246
2177,NSW,254,1211,1519,814,448,263,187,4698
2178,NSW,19,162,312,236,329,128,86,1265
2179,NSW,71,453,610,310,327,334,152,2265
2190,NSW,680,2124,2476,939,620,666,511,8026
2191,NSW,213,661,753,269,127,133,126,2289
2192,NSW,651,1764,1179,345,187,382,374,4873
2193,NSW,626,2316,1622,460,193,409,459,6090
2194,NSW,1456,3742,1847,430,214,735,522,8941
2195,NSW,1099,3981,1791,473,267,874,494,8975
2196,NSW,875,3368,2993,1085,618,904,701,10548
2197,NSW,230,835,902,398,205,190,240,3007
2198,NSW,107,761,1042,386,254,192,150,2888
2199,NSW,554,1774,1740,615,342,506,409,5947
2200,NSW,1571,5043,3848,1255,649,1420,1035,14820
2203,NSW,901,2787,1325,229,93,532,416,6275
