Australian Bureau of Statistics

"2021 Census - employment, income and education"
"POA (UR) by 1-digit level HEAP Level of Highest Educational Attainment"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"1-digit level HEAP Level of Highest Educational Attainment","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Secondary Education - Years 10 and above","Certificate I & II Level","Secondary Education - Years 9 and below","Supplementary Codes","Not stated","Not applicable","Total",
"POA (UR)",
"2000, NSW",3813,489,8530,3814,1137,4761,16,397,872,2700,1418,27936,
"2007, NSW",1134,134,2165,722,347,1426,0,163,202,640,485,7410,
"2008, NSW",1731,228,3450,752,404,2265,0,97,147,918,409,10400,
"2009, NSW",1872,346,3673,1162,712,2007,12,223,329,1036,1298,12658,
"2010, NSW",4003,796,9068,2185,1402,4145,6,454,602,2354,1434,26443,
"2011, NSW",2753,594,5856,1643,1088,2742,8,264,509,1951,770,18187,
"2015, NSW",1623,355,3689,947,739,1731,0,169,205,652,1305,11422,
"2016, NSW",1715,352,3823,1016,774,2242,8,429,375,1263,1074,13072,
"2017, NSW",4296,633,8758,2357,1914,5042,8,571,686,2447,2294,29003,
"2018, NSW",2110,316,4447,1602,1646,4061,5,1019,728,1298,2634,19878,
"2019, NSW",852,213,2271,1174,1607,2972,5,575,354,894,2540,13467,
"2020, NSW",2500,288,5397,2169,1677,4249,7,646,617,1505,2537,21591,
"2021, NSW",2280,437,5080,1031,579,2176,8,247,312,847,1948,14946,
"2022, NSW",1578,310,3986,1017,858,2117,4,281,353,1049,1958,13509,
"2023, NSW",1331,262,3202,777,402,1828,0,223,225,521,1821,10590,
"2024, NSW",1352,277,3160,818,629,1625,3,294,235,916,2055,11380,
"2025, NSW",1042,188,2311,474,253,1046,0,139,164,463,1101,7189,
"2026, NSW",3846,729,10482,2548,1866,4856,3,583,770,2329,4669,32693,
"2027, NSW",1078,211,2459,605,294,1372,0,135,196,616,852,7810,
"2028, NSW",660,128,1585,335,165,810,0,77,117,252,579,4709,
"2029, NSW",999,264,2687,851,526,1763,3,247,269,684,1616,9911,
"2030, NSW",1529,319,3929,1012,594,2803,0,385,322,791,2746,14434,
"2031, NSW",4403,897,9468,2390,2217,5480,3,836,762,2139,5237,33830,
"2032, NSW",1887,259,3202,1042,994,3183,5,685,428,979,1979,14643,
"2033, NSW",1500,233,2939,883,719,2800,3,284,292,831,1438,11927,
"2034, NSW",2485,561,5614,1575,1465,3265,4,512,482,1220,3067,20249,
"2035, NSW",3378,701,7316,2803,2942,6954,18,1672,1062,2123,5624,34602,
"2036, NSW",2386,497,5338,2686,3667,7528,6,1589,1054,3272,5725,33767,
"2037, NSW",2797,511,4633,1184,890,2887,11,472,381,1116,1765,16641,
"2038, NSW",1359,297,2720,674,533,1408,0,203,189,576,1517,9487,
"2039, NSW",1168,316,2379,704,503,1311,0,202,196,311,1474,8553,
"2040, NSW",2600,731,5542,1778,1530,3689,10,875,511,1145,4389,22803,
"2041, NSW",2369,567,4431,1133,789,2269,3,380,344,665,2633,15584,
"2042, NSW",2660,609,5817,1400,1163,3312,10,438,376,1047,1850,18673,
"2043, NSW",1658,347,3368,738,520,1233,5,140,208,391,1052,9657,
"2044, NSW",830,205,2114,633,675,1581,4,347,263,378,1251,8278,
"2045, NSW",605,155,1317,516,515,1298,0,535,215,263,1068,6480,
"2046, NSW",2337,627,5673,2393,2415,5227,10,1542,956,1382,4730,27288,
"2047, NSW",1284,346,3033,1056,885,2100,6,394,365,663,1882,12011,
"2048, NSW",1021,250,2207,590,502,1197,4,272,205,380,995,7619,
"2049, NSW",1543,412,3331,882,786,2093,0,459,306,853,1587,12258,
"2050, NSW",1553,273,2890,618,441,1985,0,124,156,612,722,9381,
"2060, NSW",2777,525,4994,1153,655,1953,0,218,347,931,1572,15135,
"2061, NSW",1103,226,2054,481,237,846,0,96,159,568,387,6158,
"2062, NSW",939,261,2125,568,321,1022,0,136,144,257,1319,7088,
"2063, NSW",826,185,1723,468,210,1145,0,214,154,235,1328,6493,
"2064, NSW",1431,286,2547,675,394,1359,0,235,214,418,1852,9417,
"2065, NSW",5261,1096,10392,2414,1386,4077,7,495,665,1317,4593,31698,
"2066, NSW",4585,1038,9453,2563,1693,5078,11,792,844,1304,6490,33844,
"2067, NSW",4000,578,7265,2067,1050,4631,3,820,765,1324,4573,27078,
"2068, NSW",1971,493,4485,1253,806,3026,0,668,447,626,3676,17450,
"2069, NSW",2021,435,3946,1049,504,2427,0,435,364,478,2939,14604,
"2070, NSW",2190,440,3915,1003,490,2444,0,438,338,416,2976,14648,
"2071, NSW",2006,333,3705,980,404,2440,3,363,349,470,2462,13510,
"2072, NSW",1437,233,2440,658,296,1472,0,216,226,322,1503,8795,
"2073, NSW",2538,585,4598,1126,551,2919,0,484,397,491,3531,17221,
"2074, NSW",3114,701,5995,1889,1006,4222,3,690,611,876,4320,23423,
"2075, NSW",2863,540,5291,1785,922,3884,0,613,583,633,4555,21665,
"2076, NSW",3149,739,6167,2001,1258,4727,3,769,672,1028,4818,25340,
"2077, NSW",5129,1015,10055,3622,3191,7193,7,1312,1229,1796,8270,42819,
"2079, NSW",605,217,1537,714,879,1625,0,257,236,189,1555,7816,
"2080, NSW",147,55,282,171,212,340,0,60,50,64,373,1766,
"2081, NSW",368,136,1008,496,702,1050,0,201,182,114,1124,5394,
"2082, NSW",337,134,979,494,734,1082,0,201,190,139,1159,5458,
"2083, NSW",161,45,271,152,242,351,0,71,44,116,208,1665,
"2084, NSW",207,89,664,364,491,831,0,144,152,150,661,3759,
"2085, NSW",689,264,2137,1182,1083,2622,0,534,368,425,2141,11452,
"2086, NSW",987,337,2813,1237,1415,2914,6,486,454,418,3150,14214,
"2087, NSW",1138,317,2745,1089,917,2659,6,547,401,548,2803,13161,
"2088, NSW",3823,832,8289,2323,1103,4739,5,608,710,1301,4611,28329,
"2089, NSW",1645,382,3625,1062,559,1703,4,146,304,582,1484,11491,
"2090, NSW",1913,462,4165,1216,613,2033,6,237,338,587,1976,13533,
"2092, NSW",666,160,1814,583,408,1303,6,256,181,296,1708,7384,
"2093, NSW",2149,663,5802,2014,1576,4168,0,666,622,861,5037,23555,
"2094, NSW",741,198,1719,555,353,985,0,116,151,261,1059,6141,
"2095, NSW",2162,414,5224,1269,860,2516,4,303,431,921,2184,16296,
"2096, NSW",1353,404,3984,1332,1328,2555,4,394,386,561,2651,14955,
"2097, NSW",843,335,2965,1590,1980,3514,5,614,485,659,2995,15991,
"2099, NSW",2715,821,8168,4194,4981,9153,42,1691,1481,2184,7482,42917,
"2100, NSW",1360,473,4125,1987,2334,4667,7,868,701,1044,4415,21973,
"2101, NSW",1010,449,3445,2018,2675,4176,12,785,661,1181,3478,19885,
"2102, NSW",444,145,1398,830,977,1665,3,284,250,546,1827,8379,
"2103, NSW",572,191,1936,1129,1339,2408,4,400,414,679,1798,10877,
"2104, NSW",226,70,739,414,363,919,0,153,158,302,462,3807,
"2105, NSW",189,50,464,201,173,425,0,41,53,137,272,2008,
"2106, NSW",619,222,2052,1079,1136,2033,0,227,306,436,1541,9659,
"2107, NSW",1091,388,3093,1640,1550,3180,4,411,507,673,2884,15422,
"2108, NSW",160,36,436,169,168,378,0,28,67,124,173,1740,
"2110, NSW",1097,275,2266,730,478,1853,7,354,245,812,1730,9846,
"2111, NSW",1451,379,3748,1408,1231,2798,6,652,437,744,2606,15456,
"2112, NSW",4193,707,8756,3050,3015,7143,19,1503,1145,1919,6582,38026,
"2113, NSW",4163,555,7193,1987,1631,4901,6,755,744,1567,4122,27637,
"2114, NSW",3205,563,6400,2136,1725,4457,7,865,794,1062,4048,25267,
"2115, NSW",854,170,2163,1047,1234,2865,12,629,394,853,2458,12686,
"2116, NSW",497,101,1312,579,691,1725,0,313,228,433,1390,7274,
"2117, NSW",1766,369,4143,1741,1890,5084,11,1050,731,1258,4158,22185,
"2118, NSW",3128,536,6196,2209,1694,5427,6,1003,784,1075,5832,27888,
"2119, NSW",1785,348,3130,912,612,2150,0,356,312,482,2360,12458,
"2120, NSW",2470,622,4909,1804,1417,3820,10,657,604,663,4017,20988,
"2121, NSW",5515,843,8915,2415,1480,5583,16,918,865,1173,6483,34209,
"2122, NSW",4272,656,7327,2400,1760,6150,12,1169,974,1564,4900,31187,
"2125, NSW",1895,454,4011,1334,1080,3283,3,540,530,462,3037,16620,
"2126, NSW",2451,479,4642,1545,1034,3563,3,621,505,727,3511,19082,
"2127, NSW",3781,481,6360,2025,1257,3632,0,364,548,1086,3673,23198,
"2128, NSW",160,38,392,202,209,489,0,83,91,1459,474,3600,
"2130, NSW",988,256,2106,548,469,1140,0,220,186,369,1004,7288,
"2131, NSW",2725,568,5733,2059,1504,4402,15,1030,761,1518,2701,23012,
"2132, NSW",1088,249,2279,784,728,2268,0,664,404,595,1690,10755,
"2133, NSW",701,181,1866,897,1056,2607,0,730,427,544,1912,10929,
"2134, NSW",2127,271,4150,1761,846,4257,5,890,683,1510,1724,18224,
"2135, NSW",2903,503,6679,2657,1209,5693,4,854,854,1634,2921,25915,
"2136, NSW",637,127,1511,615,655,1778,0,399,276,476,1285,7763,
"2137, NSW",2487,636,5782,2593,2474,5681,7,1319,962,1325,4453,27726,
"2138, NSW",3140,422,5392,1508,1014,3232,3,527,519,1063,2863,19686,
"2140, NSW",3051,320,5317,1766,1013,3686,7,489,535,1470,3112,20766,
"2141, NSW",2207,353,6114,2840,2028,8345,15,2066,1500,2358,4603,32425,
"2142, NSW",2217,276,4340,2155,1792,6692,21,1571,1258,2563,5126,27993,
"2143, NSW",430,107,1388,691,739,2670,3,741,495,624,1879,9774,
"2144, NSW",2490,325,4993,2986,1907,10351,26,3226,2417,3745,6872,39333,
"2145, NSW",9090,1256,15525,5823,6747,17621,47,4440,2688,5937,18355,87531,
"2146, NSW",1838,309,3245,1454,1777,4205,3,961,609,1115,3943,19456,
"2147, NSW",2182,550,5227,2803,4376,9229,25,2323,1172,2281,7122,37285,
"2148, NSW",4212,760,9588,5198,6937,16481,51,4133,2268,4793,13062,67483,
"2150, NSW",6032,592,9320,2496,1567,5285,7,887,896,2524,5651,35254,
"2151, NSW",1986,454,4334,1795,1797,4224,9,851,671,1232,3862,21204,
"2152, NSW",881,230,2103,953,1159,2340,0,504,360,575,2169,11261,
"2153, NSW",6182,1286,12580,5184,5603,12486,15,2295,1828,2230,12925,62610,
"2154, NSW",4418,932,8897,3376,2911,8214,14,1455,1168,1818,7675,40874,
"2155, NSW",6948,1353,15060,6431,6236,14978,10,2458,1880,2468,17878,75699,
"2156, NSW",744,265,2285,1297,1716,3199,3,628,476,476,2313,13403,
"2157, NSW",150,70,555,350,628,1001,0,202,139,148,807,4042,
"2158, NSW",615,170,1604,808,959,1993,4,384,381,460,1561,8937,
"2159, NSW",298,97,812,488,734,1146,6,255,182,243,886,5148,
"2160, NSW",1694,364,4634,2816,3076,10074,28,2759,2161,3680,8092,39388,
"2161, NSW",1001,227,3068,2255,2823,9274,34,2681,1887,3178,7953,34379,
"2162, NSW",558,132,1910,1249,1630,5868,19,1682,979,1810,4475,20306,
"2163, NSW",221,53,792,570,722,2947,3,1021,594,1581,2038,10544,
"2164, NSW",370,132,1745,1310,2099,5987,19,2524,1452,1416,4221,21273,
"2165, NSW",654,227,3508,2567,3251,12994,61,5861,4078,3437,8418,45046,
"2166, NSW",786,221,4768,2763,3393,18060,67,6105,4744,4251,9009,54184,
"2167, NSW",905,137,1713,789,987,2256,8,499,277,766,2205,10536,
"2168, NSW",659,268,3139,2716,4421,13990,49,4146,2471,3378,9781,45023,
"2170, NSW",4170,946,12491,8537,11643,30150,109,8250,5090,8946,24138,114479,
"2171, NSW",1112,316,4661,3117,4074,10782,15,2216,1650,1641,9299,38882,
"2172, NSW",191,38,527,277,360,626,0,102,100,85,580,2892,
"2173, NSW",861,229,2249,1286,1823,3367,8,497,334,630,3262,14544,
"2174, NSW",922,179,2210,875,854,2474,8,343,323,633,3257,12080,
"2175, NSW",26,13,146,113,264,464,0,226,100,144,297,1790,
"2176, NSW",916,340,5087,3358,4910,14818,43,5624,3631,2750,8549,50022,
"2177, NSW",268,79,1600,1116,1467,5436,15,1636,1334,1056,3151,17154,
"2178, NSW",91,19,358,275,670,1165,3,435,170,306,682,4170,
"2179, NSW",923,189,2245,1185,1679,3515,7,884,526,957,4154,16262,
"2190, NSW",1086,204,2935,1673,2182,7603,15,2002,1267,2065,6527,27559,
"2191, NSW",260,79,877,577,632,1744,3,488,302,348,1246,6555,
"2192, NSW",612,144,1843,993,1207,3629,8,1066,712,1350,2214,13781,
"2193, NSW",1572,409,3621,1506,1462,3777,5,1068,720,930,2713,17778,
"2194, NSW",1635,312,4044,2260,1579,7049,4,2025,1256,2566,3390,26132,
"2195, NSW",2176,224,3771,1610,1361,5950,14,1757,1189,2472,6581,27103,
"2196, NSW",1315,274,3780,2370,2917,9414,9,2466,1651,2514,7031,33743,
"2197, NSW",217,81,826,644,955,2879,5,769,425,919,2403,10121,
"2198, NSW",258,75,927,660,1018,2610,9,698,370,928,2290,9843,
"2199, NSW",613,133,2099,1282,1665,5583,14,1505,889,1539,4325,19651,
"2200, NSW",2165,382,5895,3268,3369,13497,28,3176,2153,3927,10152,48003,
"2203, NSW",1464,499,3423,1181,1010,2456,0,717,453,761,1974,13946,
"2204, NSW",2706,711,6459,1978,1989,5027,11,1573,1060,1502,3546,26567,
"2205, NSW",2996,404,6282,2107,1668,4916,5,836,838,2113,3167,25338,
"2206, NSW",1153,341,3167,1518,1850,4588,6,1734,891,1198,3276,19730,
"2207, NSW",1603,385,4476,2320,2557,7046,9,1948,1124,1879,5035,28382,
"2208, NSW",598,155,2037,1067,1222,3221,5,1062,586,610,2325,12881,
"2209, NSW",885,253,2614,1331,1375,4088,13,1080,693,862,2626,15825,
"2210, NSW",1685,496,5103,2740,3370,8487,14,2112,1307,2370,5583,33262,
"2211, NSW",854,270,2585,1415,2021,4634,10,1076,681,1076,2984,17610,
"2212, NSW",753,213,2511,1359,1763,4366,6,1125,668,1170,3252,17184,
"2213, NSW",1133,334,3336,1938,2884,5866,8,1376,780,1030,4598,23290,
"2214, NSW",129,53,428,330,629,1130,0,237,135,147,850,4074,
"2216, NSW",2131,357,5102,2595,2423,6645,9,1567,1094,2071,4023,28027,
"2217, NSW",2367,428,5557,2588,2481,6238,9,1473,1064,2046,4422,28673,
"2218, NSW",1377,263,3145,1528,1305,3737,8,860,598,945,2419,16182,
"2219, NSW",649,181,2126,1266,1544,3314,7,857,574,1004,2237,13771,
"2220, NSW",3679,454,7007,3187,1921,8007,11,1663,1229,2103,4520,33761,
"2221, NSW",1086,227,3310,1469,1442,4105,0,923,636,890,2977,17065,
"2222, NSW",1082,203,2438,1100,1091,2933,6,643,437,800,1930,12660,
"2223, NSW",1786,491,4395,1827,2004,4525,9,947,658,955,3810,21403,
"2224, NSW",701,223,2143,1378,1789,3644,6,828,581,776,2491,14559,
"2225, NSW",352,149,961,518,651,1141,3,206,161,161,1254,5560,
"2226, NSW",843,315,2312,1261,1556,2542,0,496,428,584,2721,13054,
"2227, NSW",788,310,2447,1529,2168,3364,9,647,496,586,3015,15364,
"2228, NSW",1028,366,3271,1958,2816,4799,12,1087,714,1263,3685,21001,
"2229, NSW",1454,558,4825,2988,4306,6955,14,1314,1061,1581,5893,30943,
"2230, NSW",1742,724,5699,3220,4529,6663,10,1024,1026,1617,4444,30690,
"2231, NSW",30,28,179,246,527,587,4,152,61,127,596,2528,
"2232, NSW",2115,767,5979,3376,5083,7383,15,1530,1106,1567,6377,35304,
"2233, NSW",1158,605,3741,2847,5234,6733,9,1362,915,1124,6232,29960,
"2234, NSW",1430,591,4794,2919,4466,7371,7,1283,1146,935,5709,30648,
"2250, NSW",2917,1169,9013,6215,11054,17330,58,3980,2108,4730,12586,71168,
"2251, NSW",1197,649,4527,3064,5454,7964,19,1792,1064,1889,6094,33721,
"2256, NSW",630,260,1678,1276,2496,4172,15,1382,520,1243,2367,16039,
"2257, NSW",991,473,3216,2450,5113,7693,29,2085,1001,2304,5035,30403,
"2258, NSW",183,97,683,467,936,1265,3,273,146,248,955,5253,
"2259, NSW",1165,691,4864,4832,12489,17768,79,5241,1850,4618,12638,66236,
"2260, NSW",1260,565,4213,2519,3548,5662,12,1057,738,1334,4926,25845,
"2261, NSW",1171,729,5050,4280,10189,14245,53,3926,1541,4009,9940,55129,
"2262, NSW",213,156,1098,1356,4316,6086,31,1988,548,1419,4202,21411,
"2263, NSW",318,251,1443,1532,4809,6878,37,2400,646,2127,4121,24554,
"2264, NSW",412,224,1336,1262,3250,4138,22,1295,506,1094,2631,16162,
"2265, NSW",342,117,862,623,1323,1672,7,403,227,423,1465,7464,
"2267, NSW",119,62,308,276,579,656,4,204,84,214,422,2920,
"2278, NSW",31,20,137,172,676,668,5,217,65,87,476,2565,
"2280, NSW",810,452,3058,2201,5180,6696,27,1940,744,1358,4722,27183,
"2281, NSW",349,229,1468,1233,2999,3808,16,1286,515,961,2467,15323,
"2282, NSW",703,366,2392,1531,2526,3673,8,1037,487,622,2806,16146,
"2283, NSW",708,402,2420,2050,4720,5997,20,1965,749,1499,3906,24419,
"2284, NSW",307,173,1223,970,2396,3035,18,997,368,921,2204,12612,
"2285, NSW",912,457,3377,2419,6523,8238,36,2400,801,1725,6978,33869,
"2286, NSW",65,50,289,313,1099,1164,0,434,116,244,920,4690,
"2287, NSW",1721,602,4862,2869,6686,10156,32,2949,1053,2143,7766,40845,
"2289, NSW",1077,487,3515,1654,2849,4322,21,1019,483,819,4010,20257,
"2290, NSW",1327,605,4697,2803,6041,7848,26,2367,918,1681,6608,34912,
"2291, NSW",1139,417,3264,1177,1557,2780,8,553,349,613,2421,14279,
"2292, NSW",118,53,441,205,431,637,0,117,55,161,401,2622,
"2293, NSW",255,97,748,318,468,699,0,115,69,136,397,3302,
