Postcode,Electorate_rating
200,
200,
800,Inner Metropolitan
800,Inner Metropolitan
801,Rural
803,
804,
810,Inner Metropolitan
810,Inner Metropolitan
810,Inner Metropolitan
810,Inner Metropolitan
810,Inner Metropolitan
810,Inner Metropolitan
810,Inner Metropolitan
810,Inner Metropolitan
810,Inner Metropolitan
810,Inner Metropolitan
810,Inner Metropolitan
810,Inner Metropolitan
810,Inner Metropolitan
810,Inner Metropolitan
810,Inner Metropolitan
810,Inner Metropolitan
811,
812,Inner Metropolitan
812,Inner Metropolitan
812,Inner Metropolitan
812,Inner Metropolitan
812,Inner Metropolitan
812,Inner Metropolitan
812,Inner Metropolitan
812,Inner Metropolitan
812,Inner Metropolitan
812,Inner Metropolitan
812,Inner Metropolitan
813,
813,
814,
815,
820,Inner Metropolitan
820,Inner Metropolitan
820,Inner Metropolitan
820,Inner Metropolitan
820,Inner Metropolitan
820,Inner Metropolitan
820,Inner Metropolitan
820,Inner Metropolitan
820,Inner Metropolitan
820,Inner Metropolitan
820,Inner Metropolitan
820,Inner Metropolitan
820,Inner Metropolitan
820,Inner Metropolitan
820,Inner Metropolitan
820,Inner Metropolitan
820,Inner Metropolitan
820,Inner Metropolitan
820,Inner Metropolitan
820,Inner Metropolitan
821,Rural
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,
822,Inner Metropolitan
822,Inner Metropolitan
822,
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
822,Inner Metropolitan
828,Inner Metropolitan
828,Inner Metropolitan
829,Inner Metropolitan
829,Inner Metropolitan
830,Inner Metropolitan
830,Inner Metropolitan
830,Inner Metropolitan
830,Inner Metropolitan
830,Inner Metropolitan
830,Inner Metropolitan
830,Inner Metropolitan
830,Inner Metropolitan
