State,Suburb,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Not applicable,Total
NSW,Aarons Pass,0,0,0,0,7,8,0,0,0,3,5,20
NSW,Abbotsbury,94,35,502,360,577,1261,5,284,207,179,747,4251
NSW,Abbotsford (NSW),395,120,1009,444,451,1160,0,313,215,437,830,5377
NSW,Abercrombie,26,20,141,75,204,250,0,51,33,38,278,1111
NSW,Abercrombie River,0,0,0,0,4,10,0,4,0,0,0,23
NSW,Aberdare,10,10,70,119,457,743,4,273,39,222,530,2471
NSW,Aberdeen (NSW),8,14,60,72,384,568,3,247,51,228,451,2088
NSW,Aberfoyle,4,0,11,6,12,26,0,4,0,11,25,101
NSW,Aberglasslyn,70,48,356,385,1099,1319,8,330,108,244,1444,5403
NSW,Abermain,6,14,86,103,462,638,4,317,64,177,475,2336
NSW,Abernethy,0,0,7,19,69,52,0,27,6,78,87,345
NSW,Abington (NSW),0,0,3,0,0,3,0,0,0,0,0,15
NSW,Acacia Creek,0,0,0,5,0,18,0,5,0,8,9,37
NSW,Acacia Gardens,227,55,647,298,418,862,0,146,112,132,897,3799
NSW,Adaminaby,0,0,14,25,59,80,0,41,11,37,36,305
NSW,Adamstown,218,101,845,471,918,1485,3,408,172,298,1127,6046
NSW,Adamstown Heights,241,103,879,446,702,1114,0,304,173,217,1107,5295
NSW,Adelong,10,5,35,48,171,268,0,105,19,100,182,944
NSW,Adjungbilly,0,0,5,4,17,15,0,5,0,12,25,86
NSW,Afterlee,0,0,4,0,10,16,0,10,0,9,6,47
NSW,Agnes Banks,14,8,56,53,159,229,0,88,26,60,218,911
NSW,Airds,10,3,28,93,231,912,9,421,74,374,778,2927
NSW,Akolele,7,5,0,3,17,37,0,17,4,45,34,168
NSW,Albert,0,0,6,3,12,16,0,4,4,16,23,82
NSW,Albion Park,156,117,801,929,2675,3479,12,991,395,820,2949,13319
NSW,Albion Park Rail,47,37,291,413,1371,1848,7,673,254,698,1284,6918
NSW,Albury,232,131,768,407,579,1022,0,258,139,519,752,4802
NSW,Aldavilla,7,0,45,40,157,189,3,64,23,600,102,1226
NSW,Alectown,4,0,9,19,13,48,0,21,7,20,25,170
NSW,Alexandria,972,265,2490,703,582,1386,3,123,172,688,872,8264
NSW,Alfords Point,121,54,450,290,420,817,0,159,146,134,523,3112
NSW,Alfredtown,5,0,14,8,23,11,0,4,4,13,29,109
NSW,Alice,0,0,0,0,0,7,0,0,0,0,0,6
NSW,Alison (Central Coast - NSW),0,0,5,4,18,26,0,9,4,17,21,95
NSW,Alison (Dungog - NSW),6,0,12,6,13,23,0,7,0,15,8,78
NSW,Allambie Heights,320,133,1095,615,798,1504,0,293,251,424,1570,7006
NSW,Allandale (NSW),0,0,6,6,11,15,0,7,0,8,11,74
NSW,Allawah,478,64,1091,533,401,1491,3,268,211,311,847,5710
NSW,Alleena,0,0,4,0,4,15,0,9,4,11,13,56
NSW,Allgomera,0,0,11,10,25,39,0,11,4,8,21,132
NSW,Allworth,0,0,6,5,40,33,0,14,8,18,35,168
NSW,Allynbrook,0,6,10,7,9,16,0,7,0,4,5,67
NSW,Alma Park,3,0,5,5,6,9,0,4,0,5,20,55
NSW,Alpine,3,5,19,19,14,26,0,9,4,11,33,141
NSW,Alstonvale,10,10,66,39,63,100,0,25,17,31,73,441
NSW,Alstonville,137,109,678,491,862,1327,11,518,166,465,976,5738
NSW,Alumy Creek,0,0,3,8,18,17,0,10,4,7,17,90
NSW,Amaroo (NSW),0,0,9,4,7,11,0,4,0,6,12,49
NSW,Ambarvale,85,38,375,436,1038,2180,14,593,243,664,1717,7378
NSW,Amosfield,0,0,3,4,11,5,0,5,0,3,6,35
NSW,Anabranch North,0,0,0,0,0,3,0,0,0,0,0,5
NSW,Anabranch South,0,0,7,0,0,16,0,3,0,5,7,36
NSW,Anambah,0,0,0,0,3,5,0,3,0,14,9,36
NSW,Ando,0,0,3,5,14,21,0,9,0,6,9,69
NSW,Anembo,0,0,3,8,9,12,0,0,0,15,15,67
NSW,Angledale,0,0,5,10,40,34,0,13,0,16,25,152
NSW,Angledool,0,0,4,0,9,14,0,6,0,20,3,55
NSW,Anglers Reach,3,0,8,6,15,11,0,10,8,28,9,90
NSW,Angourie,15,6,44,20,33,47,0,11,5,26,31,219
NSW,Anna Bay,28,40,222,271,778,990,4,333,85,491,599,3844
NSW,Annandale (NSW),1154,297,2470,649,556,1555,4,266,190,746,1564,9452
NSW,Annangrove,38,14,160,123,240,369,0,85,59,76,244,1399
NSW,Appin (NSW),33,27,182,187,544,614,0,166,65,143,677,2633
NSW,Apple Tree Flat,0,0,3,0,5,12,0,0,5,11,6,37
NSW,Appleby,0,0,0,0,8,7,0,9,0,5,11,39
NSW,Appletree Flat,0,0,0,0,0,0,0,5,0,0,5,13
NSW,Apsley (NSW),0,0,8,17,6,27,0,11,3,11,19,108
NSW,Arable,0,0,0,0,4,5,0,4,0,5,0,13
NSW,Arakoon,12,3,50,57,93,89,0,31,16,31,35,419
NSW,Araluen (NSW),3,7,23,16,24,35,0,12,3,35,15,168
NSW,Aratula (NSW),0,0,0,0,0,0,0,0,0,0,7,9
NSW,Arcadia (NSW),64,30,182,127,191,337,0,59,53,66,278,1384
NSW,Arcadia Vale,23,10,92,106,304,329,0,114,39,82,257,1375
NSW,Ardglen,0,0,5,0,7,9,0,8,0,12,15,60
NSW,Arding,7,4,26,26,27,43,0,13,8,18,35,206
NSW,Ardlethan,0,0,25,24,71,146,0,84,9,90,63,517
NSW,Argalong,0,0,0,0,4,15,0,0,5,0,10,31
NSW,Argenton,5,4,49,59,232,390,3,205,27,126,239,1347
NSW,Argents Hill,0,0,14,13,53,54,3,24,5,21,32,219
NSW,Argoon (NSW),0,0,0,0,0,0,0,0,0,0,7,17
NSW,Ariah Park,0,6,41,26,64,124,0,59,10,49,110,492
NSW,Arkell,0,0,6,3,11,7,0,3,0,7,10,45
NSW,Arkstone,0,0,0,0,4,5,0,0,0,5,9,22
NSW,Armatree,0,0,15,4,16,33,0,17,3,22,39,152
NSW,Armidale,1608,511,2826,1389,2662,6026,20,1470,569,2129,4126,23348
NSW,Arncliffe,655,124,1737,768,837,2744,6,710,461,874,1687,10590
NSW,Arndell Park,0,0,0,0,10,4,0,0,0,12,0,32
NSW,Arrawarra,4,0,29,35,100,136,0,76,17,104,27,521
NSW,Arrawarra Headland,13,18,79,35,68,152,0,39,26,41,94,553
NSW,Artarmon,1213,259,2520,696,399,1593,0,216,237,563,1832,9525
NSW,Arthurville,0,4,10,0,8,7,0,3,3,0,3,37
NSW,Arumpo,0,0,6,3,11,8,0,3,0,0,6,33
NSW,Ashbury,208,81,513,246,350,736,3,251,110,168,662,3326
NSW,Ashby (NSW),17,11,17,28,66,69,0,30,21,39,29,329
NSW,Ashby Heights,3,0,14,22,52,59,0,18,6,25,37,229
NSW,Ashby Island,0,0,0,0,3,10,0,0,0,5,0,16
NSW,Ashcroft,21,8,111,118,281,1063,10,420,191,460,902,3581
NSW,Ashfield (NSW),2400,474,5365,1902,1455,5253,8,1200,837,1996,2942,23839
NSW,Ashford (NSW),4,0,19,28,98,179,0,97,11,111,98,647
NSW,Ashley,3,3,12,18,54,87,0,33,12,44,107,364
NSW,Ashmont,19,15,118,142,552,1085,4,511,108,394,875,3830
NSW,Ashtonfield,124,70,433,388,788,1074,3,290,105,242,1125,4647
NSW,Asquith,246,71,600,330,335,680,0,136,120,145,715,3378
NSW,Atholwood,0,0,0,7,17,15,0,12,3,8,15,81
NSW,Attunga,8,6,35,30,109,156,0,47,14,58,110,573
NSW,Auburn (NSW),1752,236,4297,2259,1920,11014,35,3297,2578,2742,7246,37370
NSW,Auburn Vale,4,0,11,13,21,20,0,7,9,11,29,124
NSW,Austinmer,235,105,540,226,254,405,0,66,63,143,519,2560
NSW,Austral,32,8,151,143,404,775,0,429,167,419,497,3022
NSW,Austral Eden,3,0,8,3,25,46,0,17,6,16,27,146
NSW,Avalon Beach,489,220,1685,1021,1090,2239,0,305,333,557,1966,9908
NSW,Avisford,0,0,0,0,7,4,0,3,0,7,5,27
NSW,Avoca (NSW),6,3,22,18,27,57,0,10,7,12,42,202
NSW,Avoca Beach,163,91,686,454,622,994,0,180,144,242,1006,4585
NSW,Avon (NSW),0,0,0,0,0,0,0,0,0,0,0,0
NSW,Avondale (NSW),26,18,86,103,326,446,3,135,60,152,301,1654
NSW,Avonside,0,0,19,18,22,11,0,7,0,15,34,122
NSW,Awaba,4,0,31,28,68,118,0,39,11,18,89,400
NSW,Aylmerton,6,0,17,19,38,62,0,18,4,13,28,187
NSW,Baan Baa,0,0,8,12,25,51,0,18,3,22,32,163
NSW,Babinda (NSW),0,0,0,0,0,0,0,3,0,0,0,3
NSW,Babyl Creek,0,0,0,0,0,8,0,0,0,0,3,6
NSW,Back Creek (Bland - NSW),0,0,3,0,0,13,0,4,3,6,16,51
NSW,Back Creek (Gwydir - NSW),0,0,0,0,0,4,0,0,0,0,0,12
NSW,Back Creek (Mid-Coast - NSW),0,0,3,0,6,9,0,4,0,0,3,17
NSW,Back Creek (Queanbeyan-Palerang Regional - NSW),4,0,0,0,0,0,0,0,0,0,0,12
NSW,Back Creek (Tenterfield - NSW),0,0,0,0,5,0,0,0,0,0,0,12
NSW,Back Creek (Tweed - NSW),0,0,4,0,4,0,0,0,0,3,0,14
NSW,Back Forest,6,0,19,3,12,15,0,6,4,6,12,83
NSW,Backmede,0,4,13,4,34,36,0,14,0,19,29,153
NSW,Backwater,0,0,4,3,5,0,0,4,0,3,0,13
NSW,Badgerys Creek,4,3,3,5,25,61,0,51,6,11,53,229
NSW,Badja,0,0,0,0,5,0,0,0,0,0,0,9
NSW,Baerami,0,0,4,3,7,16,0,3,0,15,12,69
NSW,Baerami Creek,0,0,0,0,4,14,0,5,0,17,10,53
NSW,Bagnoo,0,0,4,4,8,9,0,7,6,3,9,40
NSW,Bago,0,0,0,3,11,11,0,4,0,0,11,41
NSW,Bagotville,3,0,7,4,9,10,0,9,0,3,3,47
NSW,Bakers Creek (Mid-Coast - NSW),0,0,3,0,4,12,0,5,0,0,5,35
NSW,Bakers Creek (Nambucca - NSW),0,0,0,0,3,0,0,4,0,7,0,14
NSW,Bakers Creek (Uralla - NSW),0,0,0,0,0,0,0,0,0,3,0,13
NSW,Bakers Swamp,3,0,10,5,3,9,0,0,3,5,5,50
NSW,Balaclava (NSW),17,5,29,36,91,112,3,32,19,67,91,497
NSW,Balala,0,0,11,5,21,27,0,11,4,34,20,139
NSW,Balcolyn,23,10,85,83,177,224,0,72,31,60,187,961
NSW,Bald Blair,0,0,4,4,10,15,0,0,0,7,13,48
