Postcode,State,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Not stated,Not applicable,Total
2000, NSW,159,2364,326,584,1042,1522,2121,2201,2444,2392,1555,1252,1031,2312,745,2059,2402,1418,27936
2007, NSW,55,787,117,241,392,455,676,566,544,634,430,311,252,524,166,220,565,485,7410
2008, NSW,68,1421,258,323,483,478,685,659,672,778,664,557,474,947,243,439,845,409,10400
2009, NSW,41,783,154,274,421,442,591,650,767,941,808,739,637,1443,498,1243,931,1298,12658
2010, NSW,75,898,258,510,982,1106,1158,1262,1541,1942,1779,1793,1509,3675,1198,3049,2279,1434,26443
2011, NSW,62,619,178,283,560,680,726,799,997,1363,1297,1250,1144,2530,795,2201,1924,770,18187
2015, NSW,34,427,124,192,266,288,407,428,620,812,892,863,789,1909,538,968,569,1305,11422
2016, NSW,49,541,160,419,779,894,615,583,696,927,816,806,657,1545,464,935,1112,1074,13072
2017, NSW,151,2341,388,797,1252,1259,1123,1246,1645,2405,2289,2112,1745,3599,856,1356,2145,2294,29003
2018, NSW,116,1576,396,706,1133,1063,1008,990,1231,1548,1315,1255,914,1806,420,630,1134,2634,19878
2019, NSW,50,836,267,347,530,538,505,592,737,1026,924,874,717,1400,335,446,821,2540,13467
2020, NSW,88,1870,336,550,877,953,1183,1293,1775,2103,1558,1373,1057,1828,372,536,1303,2537,21591
2021, NSW,46,748,200,245,343,434,549,544,675,911,868,891,833,1814,635,2485,758,1948,14946
2022, NSW,46,738,232,277,375,453,527,632,733,1008,818,751,663,1410,514,1467,916,1958,13509
2023, NSW,41,840,234,217,235,244,311,327,410,603,525,521,517,1117,464,1673,477,1821,10590
2024, NSW,29,646,247,257,312,334,381,381,447,606,576,644,516,1203,423,1485,849,2055,11380
2025, NSW,20,413,132,146,174,215,268,240,283,378,335,372,382,795,288,1176,452,1101,7189
