Counting,Vehicle type,Aust Postcode,Fuel type,Count
Vehicle Level,Passenger Vehicles,1225,Not Applicable,0
Vehicle Level,Passenger Vehicles,1225,Diesel,0
Vehicle Level,Passenger Vehicles,1225,Electric,0
Vehicle Level,Passenger Vehicles,1225,Petrol,0
Vehicle Level,Passenger Vehicles,1225,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1225,Other and unknown,0
Vehicle Level,Passenger Vehicles,1225,Total,0
Vehicle Level,Passenger Vehicles,1232,Not Applicable,0
Vehicle Level,Passenger Vehicles,1232,Diesel,0
Vehicle Level,Passenger Vehicles,1232,Electric,0
Vehicle Level,Passenger Vehicles,1232,Petrol,0
Vehicle Level,Passenger Vehicles,1232,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1232,Other and unknown,0
Vehicle Level,Passenger Vehicles,1232,Total,0
Vehicle Level,Passenger Vehicles,1235,Not Applicable,0
Vehicle Level,Passenger Vehicles,1235,Diesel,3
Vehicle Level,Passenger Vehicles,1235,Electric,0
Vehicle Level,Passenger Vehicles,1235,Petrol,0
Vehicle Level,Passenger Vehicles,1235,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1235,Other and unknown,0
Vehicle Level,Passenger Vehicles,1235,Total,3
Vehicle Level,Passenger Vehicles,1335,Not Applicable,0
Vehicle Level,Passenger Vehicles,1335,Diesel,0
Vehicle Level,Passenger Vehicles,1335,Electric,0
Vehicle Level,Passenger Vehicles,1335,Petrol,5
Vehicle Level,Passenger Vehicles,1335,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1335,Other and unknown,0
Vehicle Level,Passenger Vehicles,1335,Total,5
Vehicle Level,Passenger Vehicles,1340,Not Applicable,0
Vehicle Level,Passenger Vehicles,1340,Diesel,0
Vehicle Level,Passenger Vehicles,1340,Electric,0
Vehicle Level,Passenger Vehicles,1340,Petrol,5
Vehicle Level,Passenger Vehicles,1340,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1340,Other and unknown,0
Vehicle Level,Passenger Vehicles,1340,Total,5
Vehicle Level,Passenger Vehicles,1350,Not Applicable,0
Vehicle Level,Passenger Vehicles,1350,Diesel,0
Vehicle Level,Passenger Vehicles,1350,Electric,0
Vehicle Level,Passenger Vehicles,1350,Petrol,0
Vehicle Level,Passenger Vehicles,1350,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1350,Other and unknown,0
Vehicle Level,Passenger Vehicles,1350,Total,0
Vehicle Level,Passenger Vehicles,1355,Not Applicable,0
Vehicle Level,Passenger Vehicles,1355,Diesel,10
Vehicle Level,Passenger Vehicles,1355,Electric,0
Vehicle Level,Passenger Vehicles,1355,Petrol,34
Vehicle Level,Passenger Vehicles,1355,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1355,Other and unknown,0
Vehicle Level,Passenger Vehicles,1355,Total,47
Vehicle Level,Passenger Vehicles,1360,Not Applicable,0
Vehicle Level,Passenger Vehicles,1360,Diesel,0
Vehicle Level,Passenger Vehicles,1360,Electric,0
Vehicle Level,Passenger Vehicles,1360,Petrol,0
Vehicle Level,Passenger Vehicles,1360,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1360,Other and unknown,0
Vehicle Level,Passenger Vehicles,1360,Total,0
Vehicle Level,Passenger Vehicles,1435,Not Applicable,0
Vehicle Level,Passenger Vehicles,1435,Diesel,0
Vehicle Level,Passenger Vehicles,1435,Electric,0
Vehicle Level,Passenger Vehicles,1435,Petrol,0
Vehicle Level,Passenger Vehicles,1435,LPG/Dual fuel,0
Vehicle Level,Passenger Vehicles,1435,Other and unknown,0
Vehicle Level,Passenger Vehicles,1435,Total,0
